id,Song,Year,Set,Duration,Cluster
4288,It's Ice,1994-10-08,1,520385,0
4321,Poor Heart,1994-10-09,E,149838,0
31928,Possum,2017-07-16,1,603794,0
4286,Guyute,1994-10-08,1,677407,0
4347,Reba,1994-10-12,1,846890,0
4348,The Sloth,1994-10-12,1,224549,0
4349,Poor Heart,1994-10-12,1,149577,0
4351,The Lizards,1994-10-12,1,644493,0
4352,Guelah Papyrus,1994-10-12,1,340611,0
4362,Harry Hood,1994-10-12,2,863791,0
4372,Sparkle,1994-10-13,1,230504,0
4374,The Old Home Place,1994-10-13,2,154776,0
4376,If I Could,1994-10-13,2,404924,0
31143,Chalk Dust Torture,2016-07-19,1,394475,0
4297,I Am Hydrogen,1994-10-08,2,188682,0
4301,Harry Hood,1994-10-08,2,866325,0
4325,Silent in the Morning,1994-10-10,1,296098,0
4326,Sparkle,1994-10-10,1,234083,0
4327,Stash,1994-10-10,1,633182,0
4328,Guyute,1994-10-10,1,729182,0
4332,Chalk Dust Torture,1994-10-10,1,395363,0
4397,Fly Famous Mockingbird,1994-10-14,1,379873,0
4720,Sparkle,1994-11-13,1,234658,0
4333,Golgi Apparatus,1994-10-10,2,299886,0
4335,Esther,1994-10-10,2,544993,0
4337,Fee,1994-10-10,2,309081,0
